epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.68,3.23886,4.48298,4.16009,0.00236,0.56492,0.00307,0.00064,3.11008,5.05138,4.08062,0.00332308,0.00332308,0.00332308
2,190.674,2.67615,3.86636,3.45135,0.1108,0.16993,0.08472,0.03165,2.16669,3.14324,3.00088,0.00662646,0.00662646,0.00662646
3,272.062,2.06184,3.00919,2.73611,0.11252,0.29187,0.12261,0.0531,1.89623,4.08459,2.69984,0.00989984,0.00989984,0.00989984
4,352.736,1.61413,2.3077,2.24268,0.38296,0.55049,0.40091,0.27244,1.29711,1.97618,2.0127,0.009865,0.009865,0.009865
5,438.246,1.43032,1.99469,2.01833,0.34261,0.59146,0.44411,0.29926,1.23854,1.8704,1.89299,0.00982,0.00982,0.00982
6,519.172,1.33632,1.80578,1.90185,0.44409,0.62291,0.51785,0.35463,1.15265,1.52149,1.7797,0.009775,0.009775,0.009775
7,601.044,1.30734,1.7034,1.86262,0.52047,0.59041,0.55963,0.39408,1.13753,1.55653,1.74562,0.00973,0.00973,0.00973
8,682.904,1.25681,1.60728,1.8161,0.60028,0.6295,0.66135,0.48128,1.0767,1.29307,1.6893,0.009685,0.009685,0.009685
9,763.767,1.22381,1.51942,1.77774,0.60867,0.66145,0.67992,0.48735,1.08377,1.23674,1.67503,0.00964,0.00964,0.00964
10,846.195,1.20564,1.44632,1.74678,0.67803,0.65313,0.68965,0.50741,1.04249,1.24345,1.62511,0.009595,0.009595,0.009595
11,927.926,1.1874,1.37987,1.72619,0.7079,0.67026,0.75217,0.54525,1.06413,1.09159,1.64413,0.00955,0.00955,0.00955
12,1008.47,1.1805,1.34834,1.7154,0.7209,0.63863,0.68793,0.47222,1.12239,1.20334,1.69069,0.009505,0.009505,0.009505
13,1090.67,1.15869,1.29952,1.69947,0.77031,0.67214,0.7585,0.56842,1.02546,1.01228,1.5955,0.00946,0.00946,0.00946
14,1172.55,1.14624,1.25717,1.67744,0.72464,0.70436,0.73784,0.55848,1.03257,1.10172,1.61681,0.009415,0.009415,0.009415
15,1253.2,1.12211,1.23068,1.65704,0.77025,0.73289,0.80307,0.60731,0.99795,0.90594,1.57698,0.00937,0.00937,0.00937
16,1334.95,1.13457,1.21797,1.66571,0.80675,0.69915,0.80951,0.59716,1.04493,0.91999,1.59716,0.009325,0.009325,0.009325
17,1415.8,1.09977,1.16446,1.64103,0.8157,0.72703,0.82475,0.61831,0.9912,0.894,1.5637,0.00928,0.00928,0.00928
18,1495.68,1.10638,1.15537,1.64609,0.81166,0.72965,0.80915,0.61124,0.9977,0.94692,1.57631,0.009235,0.009235,0.009235
19,1576.54,1.08968,1.12898,1.62969,0.74349,0.69768,0.77762,0.58619,0.95751,0.99684,1.53461,0.00919,0.00919,0.00919
20,1655.44,1.07068,1.1116,1.5984,0.8431,0.72918,0.82944,0.63425,0.96899,0.83565,1.52087,0.009145,0.009145,0.009145
21,1735.09,1.08328,1.09612,1.61117,0.8168,0.74664,0.83859,0.63376,0.95924,0.83438,1.53202,0.0091,0.0091,0.0091
22,1812.36,1.06654,1.08827,1.60124,0.6787,0.75738,0.79511,0.60658,0.96311,0.94562,1.51649,0.009055,0.009055,0.009055
23,1891.35,1.05419,1.07757,1.59202,0.83271,0.7667,0.85571,0.65576,0.93084,0.77681,1.49251,0.00901,0.00901,0.00901
24,1969.5,1.05845,1.0438,1.58392,0.79582,0.75988,0.84127,0.64316,0.95919,0.82185,1.50927,0.008965,0.008965,0.008965
25,2047.96,1.05808,1.05431,1.59111,0.81826,0.76088,0.84793,0.65121,0.93729,0.81858,1.50518,0.00892,0.00892,0.00892
26,2129.08,1.05253,1.03718,1.58156,0.81939,0.75899,0.84703,0.64422,0.94538,0.82562,1.50217,0.008875,0.008875,0.008875
27,2207.77,1.04218,1.02708,1.57532,0.82008,0.81543,0.87709,0.67708,0.91281,0.74481,1.48395,0.00883,0.00883,0.00883
28,2288.49,1.02669,1.01019,1.56385,0.8125,0.79605,0.86948,0.66684,0.93983,0.73957,1.49551,0.008785,0.008785,0.008785
29,2371.63,1.0416,1.00291,1.56848,0.82768,0.75435,0.8445,0.65239,0.92297,0.77682,1.48822,0.00874,0.00874,0.00874
30,2452.55,1.02197,0.97919,1.55734,0.80553,0.76467,0.84526,0.65285,0.94301,0.79414,1.50168,0.008695,0.008695,0.008695
31,2535.11,1.02105,0.97128,1.55968,0.82968,0.82222,0.8855,0.68333,0.92377,0.70975,1.47131,0.00865,0.00865,0.00865
32,2618.49,1.01145,0.96117,1.54904,0.83706,0.80875,0.88146,0.68203,0.91015,0.69667,1.47038,0.008605,0.008605,0.008605
33,2699.63,1.00427,0.94263,1.54648,0.84165,0.78893,0.87296,0.67709,0.91102,0.75054,1.47183,0.00856,0.00856,0.00856
34,2781.65,1.0141,0.95198,1.5494,0.85684,0.75824,0.85537,0.66356,0.92253,0.75203,1.48686,0.008515,0.008515,0.008515
35,2863.84,0.993,0.92755,1.52489,0.86276,0.77362,0.87201,0.67337,0.9274,0.72379,1.46586,0.00847,0.00847,0.00847
36,2945.36,1.00148,0.92014,1.53247,0.85444,0.80845,0.88734,0.68941,0.90784,0.68515,1.45494,0.008425,0.008425,0.008425
37,3026.55,0.99819,0.93283,1.53425,0.83823,0.81852,0.89424,0.69805,0.89282,0.67759,1.45209,0.00838,0.00838,0.00838
38,3107.91,0.99449,0.91627,1.52585,0.89242,0.77939,0.89467,0.69641,0.92102,0.68362,1.45653,0.008335,0.008335,0.008335
39,3187.8,0.99041,0.91166,1.52283,0.87393,0.79812,0.89363,0.69754,0.89338,0.69161,1.44076,0.00829,0.00829,0.00829
40,3268.07,0.98926,0.88741,1.5179,0.8811,0.7844,0.89229,0.69665,0.88857,0.68843,1.44288,0.008245,0.008245,0.008245
41,3349.55,0.97205,0.88274,1.50766,0.8726,0.80074,0.88405,0.69174,0.88766,0.6795,1.44057,0.0082,0.0082,0.0082
42,3428.32,0.98203,0.88271,1.51442,0.89168,0.7966,0.90133,0.70419,0.88147,0.62827,1.43349,0.008155,0.008155,0.008155
43,3509.51,0.98367,0.87977,1.51561,0.90691,0.7879,0.90124,0.70304,0.88652,0.65547,1.44539,0.00811,0.00811,0.00811
44,3588.73,0.982,0.87415,1.51233,0.86624,0.81719,0.89861,0.70148,0.88844,0.64623,1.43031,0.008065,0.008065,0.008065
45,3669.26,0.95961,0.85105,1.49756,0.88421,0.8113,0.90427,0.71122,0.88734,0.63786,1.42794,0.00802,0.00802,0.00802
46,3750.66,0.98057,0.86392,1.50869,0.86648,0.83481,0.90757,0.71205,0.87583,0.63113,1.42563,0.007975,0.007975,0.007975
